name,label
aakansha_tyagi,1
abashes_das,1
abdal_attar,1
abdul,1
abhijeet_soni,0
abhimanyu_yadav,1
abhinav,1
abhinav_anand,1
abhinav_anil,1
abhina_b,0
abhishek_kashyap,1
abhishek_pillai,0
abhishek_shahi,0
abhishek_toshniwal,0
abhishek_vn_hegde,0
adiba,1
adithya,1
aditya_angadi,0
aditya_khare,0
aditya_kumar,1
aishwarya,1
ajay_kumar_kaushik,0
ajay_k,1
ajay_phanindra,1
akanksha_saxena,1
akarsh_bharadwaj,1
akash_bhatia,1
amay_dubey,0
amit_kumar,1
anand_kumar,1
anik,0
anik_biswas,0
anita_pingate,1
anjali_chandh,1
anjali_choudhary,1
anjali_singh,1
ankita,0
ankur_gupta,1
anupama_ma,1
anusha_swamy,0
aparna_kumari,0
apoorv_omar,1
archana_kumari,0
arpit_goel,0
arpit_kulshrestha,0
arun_mohan,1
aruparna_maity,1
ankit_gupta,1
diju_boro,0
digamber_farkunde,1
dhruv_bhatt,1
dhruv_banerjee,1
dhnesh,0
ashok_kumar_sahu,1
ashish_verma,1
ashish_upadhyay,1
ashish,0
ashis_panda,1
bharathdwaj,0
bharath_chandran,1
bharat_aher,1
bhanu_kiran_cholleti,1
baba_siddharth,1
ayushi_vyas,1
charan_teja_reddy,1
ch_harish_kumar,1
biplab_mistry,1
bipin_kumar,1
bineetsingh_kushwah,1
bharati_suryawanshi,1
deepu_dileep,1
deepak_more,1
debasis_panda,1
daniyal_shaikh,0
chinmay,0
chiluka_shailaja,1
atique_ali,1
aswini_cherukuri,1
ashwin_joshi,1
ashwin_khandelwal,1
ashribad_jena,1
avinash_bagul,1
atul_tiwari,1
atul_kumar,1
atma_prakash,1
