name,label
aakansha_tyagi,1
abashes_das,1
abdal_attar,1
abdul,1
abhijeet_soni,0
abhimanyu_yadav,1
abhinav,1
abhinav_anand,1
abhinav_anil,1
abhina_b,0
abhishek_kashyap,1
abhishek_pillai,0
abhishek_shahi,0
abhishek_toshniwal,0
abhishek_vn_hegde,0
adiba,1
adithya,1
aditya_angadi,0
aditya_khare,0
aditya_kumar,1
aishwarya,1
ajay_kumar_kaushik,0
ajay_k,1
ajay_phanindra,1
akanksha_saxena,1
akarsh_bharadwaj,1
akash_bhatia,1
amay_dubey,0
amit_kumar,1
anand_kumar,1
anik,0
anik_biswas,0
anita_pingate,1
anjali_chandh,1
anjali_choudhary,1
anjali_singh,1
ankita,0
ankur_gupta,1
anupama_ma,1
anusha_swamy,0
aparna_kumari,0
apoorv_omar,1
archana_kumari,0
arpit_goel,0
arpit_kulshrestha,0
arun_mohan,1
aruparna_maity,1
ankit_gupta,1
diju_boro,0
digamber_farkunde,1
dhruv_bhatt,1
dhruv_banerjee,1
dhnesh,0
ashok_kumar_sahu,1
ashish_verma,1
ashish_upadhyay,1
ashish,0
ashis_panda,1
bharathdwaj,0
bharath_chandran,1
bharat_aher,1
bhanu_kiran_cholleti,1
baba_siddharth,1
ayushi_vyas,1
charan_teja_reddy,1
ch_harish_kumar,1
biplab_mistry,1
bipin_kumar,1
bineetsingh_kushwah,1
bharati_suryawanshi,1
deepu_dileep,1
deepak_more,1
debasis_panda,1
daniyal_shaikh,0
chinmay,0
chiluka_shailaja,1
atique_ali,1
aswini_cherukuri,1
ashwin_joshi,1
ashwin_khandelwal,1
ashribad_jena,1
avinash_bagul,1
atul_tiwari,1
atul_kumar,1
atma_prakash,1
fahad_mehfooz,1
ganesh_dhumal,1
ganesh_rode,0
gargee_mishra,0
gaurav,0
gaurav_takirar,1
gayathri,1
govind_lipne,1
hameed_ali_shaik,1
hardik_sharma,0
harish,0
harshal,0
harshal_shah,0
hemanth,1
himanshi,1
imran,1
irfan_ahmad,1
jayant_kumar_jha,1
jogeswara_rao_baipilli,1
jyothi_swaroop,1
kalyan_banka,0
kamalesh_s,1
kamish_upadhyay,1
karan_arora,1
karan_guleri,1
karan_mitra,1
karthik_kastala,1
kartik_kiran,0
kaustav,0
keshav_sarda,1
ketan_patil,1
ketul_padariya,1
krishnan_gopal,1
krishna,1
krushi,1
kunal_jain,1
kunal_jha,0
kunal_kolhe,1
lavish_bansal,0
lohith,1
madhu_sudhan,1
mahadev_hummanagol,0
mahesh_a,1
mahesh_kumar,1
mandra_srikanth,1
manish_sharma,0
manohar,0
mansha_das,1
mayuri,0
mayur,1
mohammed_kamran,0
mohit_pareek,1
muhammed_yaseer,1
m_srinivas,0
naresh,0
naveen_desinghu_raju,1
navin_ram,0
nayeem,1
neha,0
nidhi_raj,1
niharika,1
nikhil,0
nikhil_bharadwaj_km,1
nikhil_goyal,1
niraj_kumar_singh,1
nitin,1
nitish_kumar,0
omkiran,1
palak_jain,1
pallavi_b,1
parath,0
partha,1
pooja_ambali,1
pooja_chavan,0
prabhtaj,1
prabhu_manikandan,1
pradeep_kumar,1
pradip_vetal,1
pragadeesh_s,1
prakash_sathe,1
pranjal_shandilya,1
prasad_kurhe,1
prashanth,0
prashanth_mr,1
prashant_jagdale,1
prashant_rahul,1
prateek_gupta,1
pratiksha_unale,1
pratyush_kumar_ds,1
praveen,0
prince_kumar,0
priyam,0
priyanka_sarkar,1
priyanka_singhal,1
pv_umesh_chandra,1
radha,1
raghuveera,1
rahul_kumar,1
rahul_pid,0
rajeev_kumar,1
rajeshree_patil,0
rakesh_gowda,1
ramesh_gola,1
ranjith,0
ranjit_kapurkar,1
rasik_jain,0
ratnakar,1
ravikanth_rai,1
ravi_kumar_mahto,1
rishabh_jain,1
ritesh_s,1
rochan_sharma,1
rohan_chauhan,0
rohan_gandhi,1
rohith,1
rohit_anand_gupta,1
rohtash,0
roy_raj,1
rupesh,1
sabina,1
sachin_kumar_singh,1
saichandh,1
saikat_biswas,1
sai_kumar_visinigiri,1
sai_srikar,1
samrudhi,1
sandeep_bomma,1
sandeep_kumar,0
sandip_patil,1
sanjana,1
sanjeev_kumar,0
santhosh_kumar,1
sanya,1
satabdi_gantayat,1
satyanarayana_madaraboina,1
saurabhs,1
saurav,0
saurav_kumar_ojha,1
sayan,1
sayan_dasgupta,1
sayan_mondal,0
sayli_kulkarni,1
sethupathi_subramaniyam,0
shahbaj_beg,1
shaibal,0
shailaja_chiluka,0
shakeeb_basha,1
shanu_garg,1
shashank,1
shekhar_tripathi,1
shivam,0
shiva_guptha,1
shivkashi_karamunge,1
shivraj_karki,1
shraddha_jaiswal,1
shreyas,1
shreya_kulkarni,1
shubham_chaudari,0
shubham_jangam,0
shubham_kanugo,1
shubham_sharma,1
sidhant,1
sidharth_mishra,1
siphan_kumar,1
snehalata,0
snehashis_jha,0
sonu_kumar,1
sonu_singh,1
soumen_bera,1
soumya_gupta,1
sourabh,1
sowbhagya_k,1
sowndarya,1
sri_sai_krishna_kategaru,1
sri_sai_tejaswini_arlagadda,1
subramanya,0
sudarshan_pal,0
sujit_m,1
suma,1
sumit_choudhary,1
sumit_sahay,0
suraj_dhanaji_kashid,0
surbhi_welekar,1
sweta_singh,0
s_maneesha,1
tamal_chowdhury,0
tarun,0
tejaswini,0
thejoroop_reddy,1
thriloknath_kummetha,0
trinayan,1
twinkle_vatwani,1
upendar_yadhav,1
utsav_porwal,1
vaibhav_nage,1
vijaya_lakshmi_alaparthi,1
vikas,1
vikram_p,1
vinay,0
vindhya_hv,1
vinodh_reddy,1
vinod_kumar,1
vipul,0
vishal,1
vishal_bachhav,1
vishal_vishwa,1
vyshnavi_vennakota,0
yash,1
yempati_karthik,1
jasmine_jeniffer,0
nirmala_auti,1
sruthi_lakshmi,0
vishwajeet_vijay ,0
